query,street1,street2,city,lat,long,formatted_address
"Windsor & 41 Ave, Vancouver, BC",Windsor,41 Ave,Vancouver,49.2328014,-123.0848104,"E 41st Ave & Windsor St, Vancouver, BC V5W, Canada"
"22Nd St Station Loop & Ladner St, New Westminster, BC",22Nd St Station Loop,Ladner St,New Westminster,49.1999652,-122.949048,"22nd Street, 649 22nd St, New Westminster, BC V3M, Canada"
"Nanton & Granville, Vancouver, BC",Nanton,Granville,Vancouver,49.2474197,-123.1391558,"Granville St & Nanton Ave, Vancouver, BC V6H 2E1, Canada"
"Nan & Btc Yard, Burnaby, BC",Nan,Btc Yard,Burnaby,49.2488091,-122.9805104,"Burnaby, BC, Canada"
"Bidwell & Davie, Vancouver, BC",Bidwell,Davie,Vancouver,49.2862473,-123.1402213,"Bidwell St & Davie St, Vancouver, BC V6G 2K6, Canada"
"Bidwell & Davie, Vancouver, BC",Bidwell,Davie,Vancouver,49.2862473,-123.1402213,"Bidwell St & Davie St, Vancouver, BC V6G 2K6, Canada"
"44 Ave & Fraser, Vancouver, BC",44 Ave,Fraser,Vancouver,49.2300832,-123.0906341,"E 44th Ave & Fraser St, Vancouver, BC V5W 2Z8, Canada"
"103 Ave & Scott Rd, Surrey, BC",103 Ave,Scott Rd,Surrey,49.1906095,-122.8902321,"103 A Ave & Scott Rd, Surrey, BC V3V 4G2, Canada"
"203 St & 58 Ave, Langley, BC",203 St,58 Ave,Langley,49.120631,-122.6601665,"203 St, Langley Twp, BC, Canada"
"Richards & Cordova, Vancouver, BC",Richards,Cordova,Vancouver,49.2846865,-123.1108963,"Richards St & W Cordova St, Vancouver, BC V6B 4Y2, Canada"
"20 St & Westview, North Vancouver, BC",20 St,Westview,North Vancouver,49.327416,-123.0894301,"Westview Dr & 20th St W, North Vancouver, BC V7M 3A9, Canada"
"19 Ave & Knight, Vancouver, BC",19 Ave,Knight,Vancouver,49.2535024,-123.0760567,"Knight St & E 19th Ave, Vancouver, BC V5V 1L4, Canada"
"49 Ave & Oak, Vancouver, BC",49 Ave,Oak,Vancouver,49.2265978,-123.1284065,"W 49th Ave & Oak St, Vancouver, BC V6M 2P7, Canada"
"49 Ave & Oak, Vancouver, BC",49 Ave,Oak,Vancouver,49.2265978,-123.1284065,"W 49th Ave & Oak St, Vancouver, BC V6M 2P7, Canada"
"Ubc Loop & Ubc Loop, Vancouver, BC",Ubc Loop,Ubc Loop,Vancouver,49.2675511,-123.2481004,"UBC Exchange, Greater Vancouver A, University Endowment Lands, BC V6T 2B9, Canada"
