"employee_id","Experience_Category","claim_id","paid_cost$","loss_location_at","loss_location_on","city_of_incident","apta_desc","asset_vehicle_year","asset_manufacturer","loss_date","lat","long","formatted_address","years","cost_range","bus_age"
393663,"<18 Months",257530,0,"E 65 Ave","Adera St","Vancouver","Collisions with Objects",2007,"NOV",2020-04-15,49.212297,-123.1435739,"W 65th Ave & Adera St, Vancouver, BC V6P 2R1, Canada",2020,"Level1 (<$200)",13
394884,"<18 Months",257217,0,"Fraser St","E 65th Ave","Vancouver","Collisions with Other Vehicles",2008,"WF",2020-04-01,49.2118144,-123.0909962,"E 65th Ave & Fraser St, Vancouver, BC V5X 3X4, Canada",2020,"Level1 (<$200)",12
392976,"<18 Months",257324,0,"E 41 Ave","Knight St","Vancouver","Collisions with Objects",2018,"NOV",2020-04-06,49.232673,-123.0771252,"Knight St & E 41st Ave, Vancouver, BC V5P, Canada",2020,"Level1 (<$200)",2
392961,"<18 Months",257222,0,"Burrard St","W 4 Ave","Vancouver","Collisions with Objects",2018,"NOV",2020-03-31,49.2680201,-123.1457253,"Burrard St & W 4th Ave, Vancouver, BC V6J 1M4, Canada",2020,"Level1 (<$200)",2
392962,"<18 Months",257567,0,"W Pender St","Thurlow St","Vancouver","Collisions with Objects",2007,"NOV",2020-04-17,49.2875258,-123.1204064,"Thurlow St & W Pender St, Vancouver, BC V7X, Canada",2020,"Level1 (<$200)",13
392966,"<18 Months",257068,0,"Granville St","W Broadway St","Vancouver","Collisions with Objects",2006,"WF",2020-03-24,49.2635611,-123.1385968,"Granville St & W Broadway, Vancouver, BC V6H 3G7, Canada",2020,"Level1 (<$200)",14
393417,"<18 Months",257309,0,"Commercial Dr","W Hastings St","Vancouver","Collisions with Objects",2008,"WF",2020-03-10,49.2876187,-123.1196946,"1066W Hastings St, Vancouver, BC V6E 2M6, Canada",2020,"Level1 (<$200)",12
393423,"<18 Months",257082,0,"Thurlow St","Dunsmuir St","Vancouver","Collisions with Objects (at G/C)",2018,"NOV",2020-03-26,49.2864643,-123.1220411,"Thurlow St & Dunsmuir St, Vancouver, BC V6E 0A1, Canada",2020,"Level1 (<$200)",2
393427,"<18 Months",256727,396.24,"W 52nd Ave","Oak St","Vancouver","Collisions with Objects",2007,"WF",2020-03-09,49.2239194,-123.1284554,"W 52nd Ave & Oak St, Vancouver, BC V6P 1H4, Canada",2020,"Level2 ($200-$1.000)",13
387689,"<18 Months",256547,0,"St. Georges Ave","E Keith Rd","North Vancouver","Collisions with Other Vehicles",2008,"NOV",2020-02-28,49.315645,-123.0703295,"St Georges Ave & Keith Rd E, North Vancouver, BC V7L, Canada",2020,"Level1 (<$200)",12
392922,"<18 Months",257543,0,"Cambie St","E Hastings St","Vancouver","Collisions with Objects",2019,"WF",2020-04-18,49.2825406,-123.1095738,"Cambie St & W Hastings St, Vancouver, BC V6B 2N4, Canada",2020,"Level1 (<$200)",1
392932,"<18 Months",257238,0,"2 Ave","Murphy Dr","Delta","Collisions with Objects",2007,"NOV",2020-03-04,49.006298,-123.0847631,"2 Ave & Murphy Dr W, Delta, BC V4M 3N9, Canada",2020,"Level1 (<$200)",13
392938,"<18 Months",256580,0,"Buchanan St","Willingdon Ave","Burnaby","Collisions with Objects",2008,"NOV",2020-02-29,49.2674421,-123.0032815,"Willingdon Ave & Buchanan St, Burnaby, BC V5C 5J3, Canada",2020,"Level1 (<$200)",12
